local,rooms,price,area,restroom,status,kind,movel
" Tavira (Santa Maria e Santiago), Tavira, Faro",T1,375,"59,37",1,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,490,95,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,525,80,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,515,80,2,Renovado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,500,75,1,Renovado,apartamento,ferias
" Quarteira, Loulé, Faro",T0,378,60,1,Novo,apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T1,240,"52,51",1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T2,350,75,1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T3,350,75,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T0,6916,60,1,111712 /AL,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,609,60,1,51341 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,400,105,2,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,,50,1,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T1,350,80,1,Usado,apartamento,ferias
" Almancil, Loulé, Faro",T3,1505,150,4,"

",apartamento,ferias
" Almancil, Loulé, Faro",T2,1505,150,3,"

",apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T1,400,50,1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,,70,1,Novo,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,,70,1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,350,60,1,Usado,apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T2,44940,70,2,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,29960,55,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,760,109,2,Renovado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,300,"36,13",1,Novo,apartamento,ferias
" Quarteira, Loulé, Faro",T2,95,95,1,Novo,apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T1,420,"42,98",1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T1,300,"39,72",1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,265,52,1,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,679,60,1,53185 /AL,apartamento,ferias
